is_weekend,hour,trip_count,avg_duration_min
False,0,491518,13.614957578698373
False,1,403364,13.91979204990199
False,2,314837,13.488225786465167
False,3,229127,13.098302455988746
False,4,134218,12.75935092995475
False,5,76219,13.745678324958343
False,6,43492,14.041300346807075
False,7,31643,13.897730582856662
False,8,21029,13.31630003883526
False,9,41744,12.295330522150888
False,10,126316,11.583541293924233
False,11,365408,13.071561367658434
False,12,644088,12.684602284496322
False,13,432303,12.288995412708216
False,14,332422,12.921417627042333
False,15,386089,13.227031027690508
False,16,469873,12.966206781655183
False,17,470877,13.160761502012912
False,18,472777,13.846590546670699
False,19,565850,14.027824653206093
False,20,782365,14.029697628600461
False,21,1003716,13.967294514766461
False,22,858471,13.813084061391319
False,23,666935,13.722915538395796
True,0,202675,14.478298368241438
True,1,174250,14.660571122429461
True,2,158072,14.508928825577375
True,3,145139,14.06336045319774
True,4,115870,13.489371620781911
True,5,88955,14.235401460663633
True,6,66023,14.754967881647305
True,7,52613,14.720475280190575
True,8,24246,13.53037217891611
True,9,15519,12.692444337049208
True,10,21277,11.467330857263711
True,11,38231,12.037892708796527
True,12,71405,12.713214667506943
True,13,116444,13.407967483225127
True,14,159671,14.26964775381879
True,15,195945,15.07773331615164
True,16,222471,15.383368497092505
True,17,243381,15.777104716062471
True,18,259110,16.041326326335017
True,19,267332,15.925915512109787
True,20,272768,15.407197442515251
True,21,261925,15.342315284146224
True,22,237203,15.143135576981178
True,23,198940,14.918420057303711
